text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,subject,internal_node_id,exp_id,trigger_times,responses,stimulus,possible_responses,stim_duration,condition,exp_stage,trial_num,correct_response,correct
,1058,89,1500,0,probe,poldrack-single-stim,119,221690,s638,0.0-80.0,dot_pattern_expectancy,"220716,221396",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,18,89,true
,-1,-1,500,0,cue,poldrack-single-stim,120,222193,s638,0.0-81.0,dot_pattern_expectancy,222075,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,BY,test,19,,
,-1,-1,2000,0,fixation,poldrack-single-stim,121,224197,s638,0.0-82.0,dot_pattern_expectancy,"222756,223436,224116",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,547,71,1636,0,probe,poldrack-single-stim,122,225838,s638,0.0-83.0,dot_pattern_expectancy,"224796,225475",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,BY,test,19,71,true
,-1,-1,500,0,cue,poldrack-single-stim,123,226345,s638,0.0-84.0,dot_pattern_expectancy,226156,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,20,,
,-1,-1,2000,0,fixation,poldrack-single-stim,124,228349,s638,0.0-85.0,dot_pattern_expectancy,"226837,227515,228196",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,580,89,1500,0,probe,poldrack-single-stim,125,229853,s638,0.0-86.0,dot_pattern_expectancy,"228875,229555",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,20,89,true
,-1,-1,500,0,cue,poldrack-single-stim,126,230360,s638,0.0-87.0,dot_pattern_expectancy,230236,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,21,,
,-1,-1,2000,0,fixation,poldrack-single-stim,127,232365,s638,0.0-88.0,dot_pattern_expectancy,"230916,231596,232276",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,588,71,2180,0,probe,poldrack-single-stim,128,234552,s638,0.0-89.0,dot_pattern_expectancy,"232955,233635,234315",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,AY,test,21,71,true
,-1,-1,500,0,cue,poldrack-single-stim,129,235058,s638,0.0-90.0,dot_pattern_expectancy,234995,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,22,,
,-1,-1,2000,0,fixation,poldrack-single-stim,130,237061,s638,0.0-91.0,dot_pattern_expectancy,"235676,236355,237037",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,538,89,1500,0,probe,poldrack-single-stim,131,238563,s638,0.0-92.0,dot_pattern_expectancy,"237716,238396",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,22,89,true
,-1,-1,500,0,cue,poldrack-single-stim,132,239069,s638,0.0-93.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,23,,
,-1,-1,2000,0,fixation,poldrack-single-stim,133,241075,s638,0.0-94.0,dot_pattern_expectancy,"239075,239755,240436",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,711,89,1908,0,probe,poldrack-single-stim,134,242989,s638,0.0-95.0,dot_pattern_expectancy,"241116,241796,242476",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,23,89,true
,-1,-1,500,0,cue,poldrack-single-stim,135,243498,s638,0.0-96.0,dot_pattern_expectancy,243156,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BY,test,24,,
,-1,-1,2000,0,fixation,poldrack-single-stim,136,245501,s638,0.0-97.0,dot_pattern_expectancy,"243836,244515,245196",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,693,71,1636,0,probe,poldrack-single-stim,137,247143,s638,0.0-98.0,dot_pattern_expectancy,"245876,246556",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71",500,BY,test,24,71,true
,-1,-1,500,0,cue,poldrack-single-stim,138,247650,s638,0.0-99.0,dot_pattern_expectancy,247237,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BY,test,25,,
,-1,-1,2000,0,fixation,poldrack-single-stim,139,249656,s638,0.0-100.0,dot_pattern_expectancy,"247916,248596,249276",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,673,71,1636,0,probe,poldrack-single-stim,140,251298,s638,0.0-101.0,dot_pattern_expectancy,"249956,250636",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,BY,test,25,71,true
,-1,-1,500,0,cue,poldrack-single-stim,141,251805,s638,0.0-102.0,dot_pattern_expectancy,251316,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,26,,
,-1,-1,2000,0,fixation,poldrack-single-stim,142,253811,s638,0.0-103.0,dot_pattern_expectancy,"251996,252676,253356",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,665,89,1636,0,probe,poldrack-single-stim,143,255453,s638,0.0-104.0,dot_pattern_expectancy,"254037,254716,255396",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,26,89,true
,-1,-1,500,0,cue,poldrack-single-stim,144,255960,s638,0.0-105.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,27,,
,-1,-1,2000,0,fixation,poldrack-single-stim,145,257966,s638,0.0-106.0,dot_pattern_expectancy,"256076,256757,257438",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,494,89,1500,0,probe,poldrack-single-stim,146,259469,s638,0.0-107.0,dot_pattern_expectancy,"258117,258797",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,27,89,true
,-1,-1,500,0,cue,poldrack-single-stim,147,259976,s638,0.0-108.0,dot_pattern_expectancy,259475,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BY,test,28,,
,-1,-1,2000,0,fixation,poldrack-single-stim,148,261981,s638,0.0-109.0,dot_pattern_expectancy,"260155,260836,261516",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,575,71,2044,0,probe,poldrack-single-stim,149,264032,s638,0.0-110.0,dot_pattern_expectancy,"262196,262876,263556",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,BY,test,28,71,true
,-1,-1,500,0,cue,poldrack-single-stim,150,264536,s638,0.0-111.0,dot_pattern_expectancy,264236,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,29,,
,-1,-1,2000,0,fixation,poldrack-single-stim,151,266542,s638,0.0-112.0,dot_pattern_expectancy,"264916,265596,266276",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,674,71,2180,0,probe,poldrack-single-stim,152,268727,s638,0.0-113.0,dot_pattern_expectancy,"266956,267637,268316",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,AY,test,29,71,true
,-1,-1,500,0,cue,poldrack-single-stim,153,269230,s638,0.0-114.0,dot_pattern_expectancy,268995,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,30,,
,-1,-1,2000,0,fixation,poldrack-single-stim,154,271235,s638,0.0-115.0,dot_pattern_expectancy,"269676,270355,271035",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,560,71,1636,0,probe,poldrack-single-stim,155,272877,s638,0.0-116.0,dot_pattern_expectancy,"271715,272395",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,AY,test,30,71,true
,-1,-1,500,0,cue,poldrack-single-stim,156,273383,s638,0.0-117.0,dot_pattern_expectancy,273075,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,31,,
,-1,-1,2000,0,fixation,poldrack-single-stim,157,275389,s638,0.0-118.0,dot_pattern_expectancy,"273755,274437,275116",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,761,71,1772,0,probe,poldrack-single-stim,158,277163,s638,0.0-119.0,dot_pattern_expectancy,"275796,276477,277156",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71",500,AY,test,31,71,true
,-1,-1,500,0,cue,poldrack-single-stim,159,277669,s638,0.0-120.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BY,test,32,,
,-1,-1,2000,0,fixation,poldrack-single-stim,160,279671,s638,0.0-121.0,dot_pattern_expectancy,"277838,278516,279196",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,582,71,1500,0,probe,poldrack-single-stim,161,281175,s638,0.0-122.0,dot_pattern_expectancy,"279877,280557",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,BY,test,32,71,true
,-1,-1,500,0,cue,poldrack-single-stim,162,281681,s638,0.0-123.0,dot_pattern_expectancy,281237,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BX,test,33,,
,-1,-1,2000,0,fixation,poldrack-single-stim,163,283687,s638,0.0-124.0,dot_pattern_expectancy,"281916,282597,283277",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,717,89,1908,0,probe,poldrack-single-stim,164,285602,s638,0.0-125.0,dot_pattern_expectancy,"283957,284637,285316",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,33,71,false
,-1,-1,500,0,cue,poldrack-single-stim,165,286108,s638,0.0-126.0,dot_pattern_expectancy,285995,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,34,,
,-1,-1,2000,0,fixation,poldrack-single-stim,166,288113,s638,0.0-127.0,dot_pattern_expectancy,"286676,287355,288036",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,397,89,2044,0,probe,poldrack-single-stim,167,290162,s638,0.0-128.0,dot_pattern_expectancy,"288716,289396,290076",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,34,89,true
,-1,-1,500,0,cue,poldrack-single-stim,168,290668,s638,0.0-129.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,35,,
,-1,-1,2000,0,fixation,poldrack-single-stim,169,292675,s638,0.0-130.0,dot_pattern_expectancy,"290756,291436,292116",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,625,89,1636,0,probe,poldrack-single-stim,170,294316,s638,0.0-131.0,dot_pattern_expectancy,"292796,293476,294156",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,35,89,true
,-1,-1,500,0,cue,poldrack-single-stim,171,294823,s638,0.0-132.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,36,,
,-1,-1,2000,0,fixation,poldrack-single-stim,172,296829,s638,0.0-133.0,dot_pattern_expectancy,"294835,295516,296196",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,482,89,1772,0,probe,poldrack-single-stim,173,298607,s638,0.0-134.0,dot_pattern_expectancy,"296876,297556,298238",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,36,89,true
,-1,-1,500,0,cue,poldrack-single-stim,174,299111,s638,0.0-135.0,dot_pattern_expectancy,298917,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,37,,
,-1,-1,2000,0,fixation,poldrack-single-stim,175,301116,s638,0.0-136.0,dot_pattern_expectancy,"299596,300277,300957",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,522,89,1636,0,probe,poldrack-single-stim,176,302759,s638,0.0-137.0,dot_pattern_expectancy,"301636,302317",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,37,89,true
,-1,-1,500,0,cue,poldrack-single-stim,177,303266,s638,0.0-138.0,dot_pattern_expectancy,302997,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>",none,500,BX,test,38,,
,-1,-1,2000,0,fixation,poldrack-single-stim,178,305272,s638,0.0-139.0,dot_pattern_expectancy,"303677,304357,305037",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,433,89,1772,0,probe,poldrack-single-stim,179,307047,s638,0.0-140.0,dot_pattern_expectancy,"305717,306397",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,38,71,false
,-1,-1,500,0,cue,poldrack-single-stim,180,307554,s638,0.0-141.0,dot_pattern_expectancy,307077,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,39,,
,-1,-1,2000,0,fixation,poldrack-single-stim,181,309559,s638,0.0-142.0,dot_pattern_expectancy,"307757,308438,309119",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,555,89,1500,0,probe,poldrack-single-stim,182,311063,s638,0.0-143.0,dot_pattern_expectancy,"309797,310477",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,39,89,true
,-1,-1,7500,1000,rest_block,poldrack-single-stim,183,318567,s638,0.0-144.0,dot_pattern_expectancy,"311157,311836,312516,313196,313876,314556,315236,315916,316596,317276,317957",,<div class = centerbox><div class = center-text>Take a break!<br>Next run will start in a moment</div></div>,none,7500,,,,,
,-1,-1,1500,500,test_start_block,poldrack-single-stim,184,321074,s638,0.0-145.0,dot_pattern_expectancy,"318638,319316,319997,320676",,<div class = centerbox><div class = center-text>Get ready!</p></div>,none,1500,,,,,
,-1,-1,500,0,cue,poldrack-single-stim,185,322083,s638,0.0-146.0,dot_pattern_expectancy,"321356,322036",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>",none,500,BY,test,0,,
,-1,-1,2000,0,fixation,poldrack-single-stim,186,324085,s638,0.0-147.0,dot_pattern_expectancy,"322717,323397,324077",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,578,71,1636,0,probe,poldrack-single-stim,187,325724,s638,0.0-148.0,dot_pattern_expectancy,"324756,325437",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,BY,test,0,71,true
,-1,-1,500,0,cue,poldrack-single-stim,188,326230,s638,0.0-149.0,dot_pattern_expectancy,326117,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,1,,
,-1,-1,2000,0,fixation,poldrack-single-stim,189,328236,s638,0.0-150.0,dot_pattern_expectancy,"326797,327477,328156",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,718,71,1500,0,probe,poldrack-single-stim,190,329741,s638,0.0-151.0,dot_pattern_expectancy,"328838,329517",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,AY,test,1,71,true
,-1,-1,500,0,cue,poldrack-single-stim,191,330247,s638,0.0-152.0,dot_pattern_expectancy,330197,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,2,,
,-1,-1,2000,0,fixation,poldrack-single-stim,192,332251,s638,0.0-153.0,dot_pattern_expectancy,"330877,331557,332237",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,328,89,2044,0,probe,poldrack-single-stim,193,334297,s638,0.0-154.0,dot_pattern_expectancy,"332916,333597,334277",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,2,89,true
,-1,-1,500,0,cue,poldrack-single-stim,194,334802,s638,0.0-155.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BY,test,3,,
,-1,-1,2000,0,fixation,poldrack-single-stim,195,336807,s638,0.0-156.0,dot_pattern_expectancy,"334957,335637,336317",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,609,71,1772,0,probe,poldrack-single-stim,196,338582,s638,0.0-157.0,dot_pattern_expectancy,"336997,337677,338356",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,BY,test,3,71,true
,-1,-1,500,0,cue,poldrack-single-stim,197,339089,s638,0.0-158.0,dot_pattern_expectancy,339038,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BX,test,4,,
,-1,-1,2000,0,fixation,poldrack-single-stim,198,341094,s638,0.0-159.0,dot_pattern_expectancy,"339716,340396,341075",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,661,89,1636,0,probe,poldrack-single-stim,199,342732,s638,0.0-160.0,dot_pattern_expectancy,"341755,342435",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,4,71,false
,-1,-1,500,0,cue,poldrack-single-stim,200,343238,s638,0.0-161.0,dot_pattern_expectancy,343116,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,5,,
,-1,-1,2000,0,fixation,poldrack-single-stim,201,345244,s638,0.0-162.0,dot_pattern_expectancy,"343797,344477,345157",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,385,89,1636,0,probe,poldrack-single-stim,202,346886,s638,0.0-163.0,dot_pattern_expectancy,"345837,346517",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,5,89,true
,-1,-1,500,0,cue,poldrack-single-stim,203,347393,s638,0.0-164.0,dot_pattern_expectancy,347196,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,6,,
,-1,-1,2000,0,fixation,poldrack-single-stim,204,349399,s638,0.0-165.0,dot_pattern_expectancy,"347877,348557,349238",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,636,89,1500,0,probe,poldrack-single-stim,205,350902,s638,0.0-166.0,dot_pattern_expectancy,"349917,350597",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,6,89,true
,-1,-1,500,0,cue,poldrack-single-stim,206,351404,s638,0.0-167.0,dot_pattern_expectancy,351277,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,7,,
,-1,-1,2000,0,fixation,poldrack-single-stim,207,353410,s638,0.0-168.0,dot_pattern_expectancy,"351957,352636,353316",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,461,89,1500,0,probe,poldrack-single-stim,208,354913,s638,0.0-169.0,dot_pattern_expectancy,"353997,354677",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,7,89,true
,-1,-1,500,0,cue,poldrack-single-stim,209,355420,s638,0.0-170.0,dot_pattern_expectancy,355357,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,8,,
,-1,-1,2000,0,fixation,poldrack-single-stim,210,357423,s638,0.0-171.0,dot_pattern_expectancy,"356037,356717,357397",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,551,71,2044,0,probe,poldrack-single-stim,211,359470,s638,0.0-172.0,dot_pattern_expectancy,"358077,358757,359438",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,AY,test,8,71,true
,-1,-1,500,0,cue,poldrack-single-stim,212,359975,s638,0.0-173.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,9,,
,-1,-1,2000,0,fixation,poldrack-single-stim,213,361980,s638,0.0-174.0,dot_pattern_expectancy,"360118,360797,361478",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,530,89,2452,0,probe,poldrack-single-stim,214,364438,s638,0.0-175.0,dot_pattern_expectancy,"362158,362836,363517,364198",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,9,89,true
,-1,-1,500,0,cue,poldrack-single-stim,215,364945,s638,0.0-176.0,dot_pattern_expectancy,364878,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,10,,
,-1,-1,2000,0,fixation,poldrack-single-stim,216,366947,s638,0.0-177.0,dot_pattern_expectancy,"365558,366237,366917",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,737,89,1908,0,probe,poldrack-single-stim,217,368860,s638,0.0-178.0,dot_pattern_expectancy,"367597,368277",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,10,89,true
,-1,-1,500,0,cue,poldrack-single-stim,218,369367,s638,0.0-179.0,dot_pattern_expectancy,368957,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,11,,
,-1,-1,2000,0,fixation,poldrack-single-stim,219,371371,s638,0.0-180.0,dot_pattern_expectancy,"369638,370317,370997",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,696,89,1500,0,probe,poldrack-single-stim,220,372876,s638,0.0-181.0,dot_pattern_expectancy,"371677,372357",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,11,89,true
,-1,-1,500,0,cue,poldrack-single-stim,221,373380,s638,0.0-182.0,dot_pattern_expectancy,373037,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,12,,
,-1,-1,2000,0,fixation,poldrack-single-stim,222,375383,s638,0.0-183.0,dot_pattern_expectancy,"373717,374397,375077",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,562,89,1908,0,probe,poldrack-single-stim,223,377296,s638,0.0-184.0,dot_pattern_expectancy,"375756,376437,377117",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,12,89,true
,-1,-1,500,0,cue,poldrack-single-stim,224,377798,s638,0.0-185.0,dot_pattern_expectancy,377797,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,BX,test,13,,
,-1,-1,2000,0,fixation,poldrack-single-stim,225,379803,s638,0.0-186.0,dot_pattern_expectancy,"378477,379158",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,550,89,2180,0,probe,poldrack-single-stim,226,381989,s638,0.0-187.0,dot_pattern_expectancy,"379838,380517,381197,381877",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,13,71,false
,-1,-1,500,0,cue,poldrack-single-stim,227,382492,s638,0.0-188.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,14,,
,-1,-1,2000,0,fixation,poldrack-single-stim,228,384497,s638,0.0-189.0,dot_pattern_expectancy,"382557,383238,383917",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,444,89,1500,0,probe,poldrack-single-stim,229,386000,s638,0.0-190.0,dot_pattern_expectancy,"384598,385277,385958",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,14,89,true
,-1,-1,500,0,cue,poldrack-single-stim,230,386506,s638,0.0-191.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,BY,test,15,,
,-1,-1,2000,0,fixation,poldrack-single-stim,231,388512,s638,0.0-192.0,dot_pattern_expectancy,"386638,387318,387998",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,609,71,1908,0,probe,poldrack-single-stim,232,390427,s638,0.0-193.0,dot_pattern_expectancy,"388678,389358,390039",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,BY,test,15,71,true
,-1,-1,500,0,cue,poldrack-single-stim,233,390934,s638,0.0-194.0,dot_pattern_expectancy,390718,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BX,test,16,,
